Wall time,Step,Value
1720332552.528199,157128,250.0
1720332555.0005748,157696,199.0
1720332555.4931648,157808,206.0
1720332556.4364634,158024,204.0
1720332558.5024912,158504,251.0
1720332559.370166,158704,203.0
1720332559.4139156,158712,198.0
1720332559.83518,158808,247.0
1720332561.0747333,159096,301.0
1720332561.8658557,159280,198.0
1720332562.7821813,159496,211.0
1720332563.9830017,159776,134.0
1720333232.7835288,160008,248.0
1720333233.338219,160136,204.0
1720333234.1317794,160320,201.0
1720333234.2078707,160336,132.0
1720333236.4187362,160848,255.0
1720333237.421133,161080,248.0
1720333237.7711954,161160,128.0
1720333239.3750226,161528,254.0
1720333240.3915982,161760,248.0
1720333241.1587446,161936,200.0
1720333241.275278,161960,205.0
1720333241.589741,162032,253.0
1720333243.6733353,162488,205.0
1720333244.4373074,162664,198.0
1720333245.348834,162872,214.0
1720333914.328565,163344,227.0
1720333915.7421446,163648,123.0
1720333917.0024567,163920,248.0
1720333917.378597,164000,246.0
1720333917.9336286,164120,204.0
1720333919.9262514,164552,210.0
1720333920.3448236,164640,124.0
1720333921.9148602,165000,207.0
1720333923.3635893,165352,154.0
1720333924.0937834,165536,202.0
1720333924.8691676,165728,248.0
1720333925.3206558,165832,233.0
1720333927.5944045,166384,298.0
1720334593.3638692,166624,203.0
1720334593.436209,166640,250.0
1720334594.7983956,166968,202.0
1720334595.5678892,167144,201.0
1720334596.9700024,167432,200.0
1720334599.9472184,168160,222.0
1720334600.0237272,168176,199.0
1720334600.3424563,168248,203.0
1720334600.4466357,168272,204.0
1720334603.6282108,169016,256.0
1720334605.3182073,169416,248.0
1720335272.7417815,169824,206.0
1720335274.3529959,170200,255.0
1720335274.8015606,170304,254.0
1720335275.5177226,170472,285.0
1720335276.1003413,170608,199.0
1720335276.412703,170680,304.0
1720335279.8217766,171488,259.0
1720335280.069057,171544,134.0
1720335281.454454,171864,255.0
1720335281.7470589,171936,204.0
1720335282.3287225,172080,235.0
1720335282.8686705,172216,201.0
1720335283.3562658,172336,207.0
1720335950.225337,172856,206.0
1720335950.5862696,172936,125.0
1720335951.5363746,173168,210.0
1720335952.1123486,173312,221.0
1720335952.247647,173344,126.0
1720335952.7269049,173464,200.0
1720335954.206314,173832,202.0
1720335955.9145164,174248,271.0
1720335956.2904372,174336,175.0
1720335956.3661635,174352,130.0
1720335956.8898113,174480,127.0
1720335959.897584,175192,253.0
1720335960.6542423,175376,128.0
1720335961.3888848,175552,163.0
1720335962.2094367,175744,300.0
1720336637.7505283,176288,205.0
1720336637.9788463,176336,313.0
1720336638.6611276,176488,251.0
1720336640.2772381,176864,209.0
1720336640.5844064,176936,325.0
1720336641.1987746,177080,213.0
1720336643.945119,177736,249.0
1720336645.3927531,178080,224.0
1720336646.1640167,178272,176.0
1720336646.545441,178360,128.0
1720336646.684175,178392,164.0
1720336647.1463063,178504,252.0
1720336647.7864318,178656,215.0
1720336648.423578,178808,177.0
1720336649.812326,179136,175.0
1720337323.6111705,179896,203.0
1720337324.0228426,179984,203.0
1720337325.7007146,180352,212.0
1720337325.9654517,180408,252.0
1720337326.2732623,180472,169.0
1720337326.4691677,180512,213.0
1720337326.552587,180528,253.0
1720337329.442152,181168,254.0
1720337330.674172,181456,131.0
1720337331.0525525,181544,129.0
1720337331.203236,181576,138.0
1720337331.3476162,181608,135.0
1720337331.3903124,181616,215.0
1720337331.4964757,181640,207.0
1720337334.6851697,182392,255.0
1720338005.0429916,182632,136.0
1720338007.0604224,183096,205.0
